atc,name,dc_code,other_code
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0085612
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0741292
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0039240
C03DB01,"amiloride                                                                                                                                                                                                                                                 ",C0013604,C0018801
C03DB01,"amiloride                                                                                                                                                                                                                                                 ",C0013604,C0020538
C03DB01,"amiloride                                                                                                                                                                                                                                                 ",C0013604,C1514284
C03DB01,"amiloride                                                                                                                                                                                                                                                 ",C0013604,C0018802
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0038454
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0020538
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0027051
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0033687
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0007820
L01DB03,"epirubicin                                                                                                                                                                                                                                                ",C0678222,C2216708
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0342907
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0020474
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C2047520
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0020443
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0020445
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0002940
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0333482
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0752130
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0004153
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0342881
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0752127
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0342882
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0342907
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020474
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C2047520
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020443
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020445
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0002940
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0333482
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0752130
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020473
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0004153
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0752127
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0342882
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0020474
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C2047520
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0020443
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0020445
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0002940
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0333482
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0752130
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0020473
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0004153
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0342881
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0752127
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0342882
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0342907
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0020474
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C2047520
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0020445
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0002940
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0333482
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0752130
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0020473
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0004153
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0342881
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0752127
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0342882
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0342907
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0020474
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C2047520
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0020443
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0020445
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0002940
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0333482
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0752130
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0020473
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0004153
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0342881
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0752127
C10AC04,"colesevelam                                                                                                                                                                                                                                               ",C0020443,C0011860
C10AC04,"colesevelam                                                                                                                                                                                                                                               ",C0020443,C0020445
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0342879
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0010054
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0020474
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0020443
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0020479
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0020445
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0151744
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0020557
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0020480
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0003850
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0264694
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0023772
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0027051
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0342882
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0010068
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0038454
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0342879
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0010054
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0020474
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0020443
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0020479
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0020445
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0151744
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0020557
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0020480
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0264694
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0023772
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0027051
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0342882
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0010068
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0038454
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0342879
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0010054
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0020443
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0020479
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0020445
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0151744
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0020557
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0020480
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0003850
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0264694
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0023772
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0027051
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0342882
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0020474,C0010068
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0342882,C0038454
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0342882,C0342879
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0342882,C0010054
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0342882,C0020474
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0342882,C0020443
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0342882,C0020479
